,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Type_New
25,NCD06,13.0,Non-Edible,0.099887103,45.906000000000006,OUT017,2007,Medium,Tier 2,Supermarket Type1,838.908,Others
26,FDV10,7.645,Regular,0.06669343700000001,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28,non
27,DRJ59,11.65,Low Fat,0.019356131999999998,39.1164,OUT013,1987,High,Tier 3,Supermarket Type1,308.9312,non
28,FDE51,5.925,Regular,0.161466534,45.5086,OUT010,1998,Medium,Tier 3,Grocery Store,178.4344,perishable
29,FDC14,12.305705009276451,Regular,0.072221801,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,125.8362,non
30,FDV38,19.25,Low Fat,0.17034855100000001,55.7956,OUT010,1998,Medium,Tier 3,Grocery Store,163.7868,perishable
31,NCS17,18.6,Non-Edible,0.080829372,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.7644,Others
32,FDP33,18.7,Low Fat,0.057583738,256.6672,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.0064,non
33,FDO23,17.85,Low Fat,0.0586417345,93.1436,OUT045,2002,Medium,Tier 2,Supermarket Type1,2174.5028,perishable
34,DRH01,17.5,Low Fat,0.097904029,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.2856,non
35,NCX29,10.0,Non-Edible,0.08929113699999999,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.0652,Others
36,FDV20,13.224769381746881,Regular,0.059511812000000004,128.0678,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797.6916,perishable
37,DRZ11,8.85,Regular,0.113123893,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9044,non
38,FDX10,12.987879554655919,Regular,0.12311145300000001,36.9874,OUT027,1985,Medium,Tier 3,Supermarket Type3,388.1614,non
39,FDB34,12.987879554655919,Low Fat,0.026480953999999998,87.6198,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.495,non
40,FDU02,13.35,Low Fat,0.102511504,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,perishable
41,FDK43,9.8,Low Fat,0.02681843,126.00200000000001,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534,perishable
42,FDA46,13.6,Low Fat,0.117818348,192.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.3768,non
43,FDC02,21.35,Low Fat,0.06910283099999999,259.9278,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.5228,non
44,FDL50,12.15,Regular,0.042277867000000004,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138,non
45,FDM39,6.42,Low Fat,0.08949892599999999,178.1002,OUT010,1998,Medium,Tier 3,Grocery Store,358.2004,perishable
46,NCP05,19.6,Non-Edible,0.046559447999999996,153.3024,OUT045,2002,Medium,Tier 2,Supermarket Type1,2428.8384,Others
47,FDV49,10.0,Low Fat,0.025879577,265.2226,OUT045,2002,Medium,Tier 2,Supermarket Type1,5815.0972,non
48,FDL12,15.85,Regular,0.121632721,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.646,non
49,FDS02,13.42606890459367,Regular,0.25539489600000004,196.8794,OUT019,1985,Small,Tier 1,Grocery Store,780.3176,perishable
50,NCL17,7.39,Non-Edible,0.067779712,143.8812,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.5864,Others
51,FDM40,10.195,Low Fat,0.159803853,141.5154,OUT013,1987,High,Tier 3,Supermarket Type1,850.8924,non
52,FDR13,9.895,Regular,0.028696932,117.0492,OUT013,1987,High,Tier 3,Supermarket Type1,810.9444,non
53,FDA43,10.895,Low Fat,0.065041581,196.3794,OUT017,2007,Medium,Tier 2,Supermarket Type1,3121.2704,perishable
54,NCP18,12.15,Non-Edible,0.028760012999999997,151.4708,OUT017,2007,Medium,Tier 2,Supermarket Type1,4815.0656,Others
55,FDK21,7.905,Low Fat,0.010053105,249.0408,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52,non
56,NCX54,9.195,Non-Edible,0.048157338,106.1622,OUT045,2002,Medium,Tier 2,Supermarket Type1,2117.244,Others
57,DRK35,8.365,Low Fat,0.071958197,38.0506,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.9626,non
58,FDY21,15.1,Low Fat,0.17348130399999998,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.275,non
59,FDI26,12.305705009276451,Low Fat,0.061082177,180.0344,OUT019,1985,Small,Tier 1,Grocery Store,892.172,non
60,FDM20,10.0,Low Fat,0.05877842900000001,246.9144,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.1872,perishable
61,FDV27,7.97,Regular,0.040071131,87.3514,OUT045,2002,Medium,Tier 2,Supermarket Type1,1062.6168,perishable
62,FDF09,13.224769381746881,Low Fat,0.012090074,38.2848,OUT027,1985,Medium,Tier 3,Supermarket Type3,484.7024,perishable
63,FDY40,12.867061281337076,Regular,0.15028599,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,147.8076,non
64,FDY45,12.987879554655919,Low Fat,0.026015518999999997,255.8356,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543.356,non
65,FDC46,17.7,Low Fat,0.195068226,185.4266,OUT010,1998,Medium,Tier 3,Grocery Store,184.4266,non
66,FDH19,19.35,Low Fat,0.033082215,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.6664,perishable
67,FDZ03,13.65,Regular,0.078946455,186.024,OUT045,2002,Medium,Tier 2,Supermarket Type1,1118.5439999999999,perishable
68,DRH37,17.6,Low Fat,0.041700756,164.8526,OUT045,2002,Medium,Tier 2,Supermarket Type1,2302.3364,non
69,NCI17,8.645,Non-Edible,0.14342264300000002,95.84100000000001,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.361,Others
70,FDJ58,15.6,Regular,0.10529607199999999,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,non
71,FDL12,15.85,Regular,0.121531501,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,599.22,non
72,FDH35,18.25,Low Fat,0.06227604,164.7526,OUT045,2002,Medium,Tier 2,Supermarket Type1,4604.6728,perishable
73,FDG02,7.855,Low Fat,0.011324862,189.6188,OUT017,2007,Medium,Tier 2,Supermarket Type1,2285.0256,non
74,NCZ18,7.825,Non-Edible,0.186357148,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.7356,Others
75,FDC29,8.39,Regular,0.024205661,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.3520000000003,non
76,FDQ10,12.85,Low Fat,0.033230816,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.0954,non
77,FDN48,12.277108208955255,Low Fat,0.113720344,89.9804,OUT019,1985,Small,Tier 1,Grocery Store,643.1628,non
78,FDL04,19.0,Low Fat,0.11255650699999999,104.9622,OUT017,2007,Medium,Tier 2,Supermarket Type1,1587.933,non
79,FDV25,5.905,Low Fat,0.053433574500000004,222.5456,OUT045,2002,Medium,Tier 2,Supermarket Type1,5305.0944,non
80,FDD58,7.76,Low Fat,0.05935224099999999,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79,non
81,FDN04,11.8,Regular,0.014087057,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.4752,non
82,FDV45,16.75,Low Fat,0.045230944,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89,non
83,NCL18,13.384736495388726,Non-Edible,0.293417759,194.6136,OUT019,1985,Small,Tier 1,Grocery Store,583.2408,Others
84,FDR12,12.277108208955255,Regular,0.031382044,171.3764,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091.9752,non
85,FDG20,15.5,Regular,0.12639886,177.0028,OUT017,2007,Medium,Tier 2,Supermarket Type1,2479.4392,perishable
86,FDZ55,6.055,Low Fat,0.025403897999999998,160.99200000000002,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.4640000000004,perishable
87,FDQ49,12.768202247191002,Regular,0.039057677,155.963,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.723,perishable
88,FDN33,6.305,Regular,0.123115764,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052,non
89,FDN27,20.85,Low Fat,0.039624006,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.3504,perishable
90,FDW20,20.75,Low Fat,0.040421193,122.17299999999999,OUT010,1998,Medium,Tier 3,Grocery Store,369.519,perishable
91,DRG27,8.895,Low Fat,0.10527411099999999,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346,perishable
92,DRI25,19.6,Low Fat,0.033970195,55.1614,OUT045,2002,Medium,Tier 2,Supermarket Type1,1381.535,non
93,FDA44,19.7,Low Fat,0.053212652,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523,perishable
94,NCR17,9.8,Non-Edible,0.024378706,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.3412,Others
95,FDU04,12.867061281337076,Low Fat,0.009714595,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,487.3656,non
96,FDF41,12.15,Low Fat,0.131383762,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73,non
97,FDB56,8.75,Regular,0.07461309,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112,perishable
98,NCP18,13.384736495388726,Non-Edible,0.028459761,149.9708,OUT027,1985,Medium,Tier 3,Supermarket Type3,4363.6532,Others
99,FDB56,8.75,Regular,0.07462720099999999,187.8556,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.2892,perishable
100,FDT28,13.3,Low Fat,0.063695084,151.0708,OUT045,2002,Medium,Tier 2,Supermarket Type1,1805.6496,non
101,FDD10,12.987879554655919,Regular,0.045797829000000005,178.5344,OUT027,1985,Medium,Tier 3,Supermarket Type3,2854.9504,non
102,FDW57,8.31,Regular,0.11585722300000001,179.1028,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.2616,non
103,DRB48,16.75,Regular,0.024832806000000002,38.7822,OUT013,1987,High,Tier 3,Supermarket Type1,667.7974,non
104,FDP09,19.75,Low Fat,0.034027909,212.0902,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.853,non
105,FDH14,17.1,Regular,0.046769599999999995,141.1838,OUT013,1987,High,Tier 3,Supermarket Type1,2247.7408,non
106,FDA47,10.5,Regular,0.11657670199999999,163.121,OUT013,1987,High,Tier 3,Supermarket Type1,1794.3310000000001,non
107,FDG12,6.635,Regular,0.062343432000000004,121.3098,OUT045,2002,Medium,Tier 2,Supermarket Type1,2530.7058,non
108,DRE60,11.847459893048129,Low Fat,0.278974075,225.372,OUT019,1985,Small,Tier 1,Grocery Store,679.1160000000001,non
109,DRK49,14.15,Low Fat,0.035913805,41.4138,OUT013,1987,High,Tier 3,Supermarket Type1,812.2760000000001,non
110,FDD03,13.3,Low Fat,0.079806266,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,699.09,perishable
111,FDS52,8.89,Low Fat,0.005505481,102.4016,OUT017,2007,Medium,Tier 2,Supermarket Type1,2732.4432,non
112,FDW39,12.81734421364986,Regular,0.064625342,176.937,OUT019,1985,Small,Tier 1,Grocery Store,176.437,perishable
113,FDX34,12.987879554655919,Low Fat,0.071636937,121.7098,OUT027,1985,Medium,Tier 3,Supermarket Type3,4097.3332,non
114,FDV11,9.1,Regular,0.0586417345,173.2054,OUT045,2002,Medium,Tier 2,Supermarket Type1,3151.8972,perishable
115,FDD17,7.5,Low Fat,0.032677677999999995,239.0906,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.265,non
116,FDZ16,16.85,Regular,0.160760054,192.4478,OUT017,2007,Medium,Tier 2,Supermarket Type1,4843.695,non
117,FDZ46,7.485,Low Fat,0.06911065,109.0228,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.0244,non
118,DRA12,11.6,Low Fat,0.041177505,140.3154,OUT017,2007,Medium,Tier 2,Supermarket Type1,2552.6772,non
119,FDY58,11.65,Low Fat,0.040081193,227.0694,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141.847,non
120,NCF19,13.0,Non-Edible,0.035307322,47.5034,OUT017,2007,Medium,Tier 2,Supermarket Type1,680.4476,Others
121,DRJ13,12.65,Low Fat,0.063017847,159.0578,OUT045,2002,Medium,Tier 2,Supermarket Type1,2085.9514,non
122,FDB14,20.25,Regular,0.171938781,92.512,OUT010,1998,Medium,Tier 3,Grocery Store,186.424,non
123,FDJ38,8.6,Regular,0.040197932,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.048,non
124,FDW11,12.6,Low Fat,0.049058014000000004,62.7194,OUT017,2007,Medium,Tier 2,Supermarket Type1,866.8716,perishable
125,FDL40,17.7,Low Fat,0.01161096,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,868.8689999999999,non
126,DRI49,14.15,Low Fat,0.183507295,82.4276,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.1864,non
127,FDV38,19.25,Low Fat,0.102349519,52.7956,OUT017,2007,Medium,Tier 2,Supermarket Type1,928.1252,perishable
128,DRG23,8.88,Low Fat,0.08670898699999999,151.7682,OUT013,1987,High,Tier 3,Supermarket Type1,762.341,non
129,NCP30,20.5,Non-Edible,0.032835147,40.2822,OUT045,2002,Medium,Tier 2,Supermarket Type1,707.0796,Others
130,FDY25,12.305705009276451,Low Fat,0.033809913,180.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,7968.2944,non
131,NCH54,13.5,Non-Edible,0.07266912,160.292,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128,Others
132,NCR53,13.142313953488392,Non-Edible,0.144338493,224.4404,OUT027,1985,Medium,Tier 3,Supermarket Type3,6976.2524,Others
133,FDS52,8.89,Low Fat,0.009163216,101.7016,OUT010,1998,Medium,Tier 3,Grocery Store,101.2016,non
134,FDG02,7.855,Low Fat,0.011307038,188.5188,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.0939999999999,non
135,NCO26,7.235,Non-Edible,0.076855628,116.0492,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.4364,Others
136,FDH35,13.690730769230765,Low Fat,0.059956876,165.4526,OUT027,1985,Medium,Tier 3,Supermarket Type3,5262.4832,perishable
137,FDB51,6.92,Low Fat,0.038532062,60.5852,OUT045,2002,Medium,Tier 2,Supermarket Type1,1314.2892,perishable
138,FDX44,9.3,Low Fat,0.043209581,90.8172,OUT017,2007,Medium,Tier 2,Supermarket Type1,535.3032,perishable
139,NCN07,18.5,Non-Edible,0.056816465,132.1284,OUT010,1998,Medium,Tier 3,Grocery Store,263.6568,Others
140,NCC31,8.02,Non-Edible,0.019866705,154.5972,OUT035,2004,Small,Tier 2,Supermarket Type1,1402.1748,Others
141,NCX54,9.195,Non-Edible,0.048331717,105.1622,OUT017,2007,Medium,Tier 2,Supermarket Type1,1693.7952,Others
142,NCO55,12.8,Non-Edible,0.091221855,105.5938,OUT045,2002,Medium,Tier 2,Supermarket Type1,2143.876,Others
143,NCC30,16.6,Non-Edible,0.027622076000000002,177.6344,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676.5159999999996,Others
144,FDI16,14.0,Regular,0.063079544,53.06399999999999,OUT035,2004,Small,Tier 2,Supermarket Type1,905.488,non
145,FDP16,18.6,Low Fat,0.039355947,246.3802,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370.406,non
146,FDB11,16.0,Low Fat,0.060836524,226.8404,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.1312,perishable
147,NCB06,17.6,Non-Edible,0.082316506,160.692,OUT035,2004,Small,Tier 2,Supermarket Type1,1597.92,Others
148,FDA45,21.25,Low Fat,0.155350299,178.237,OUT035,2004,Small,Tier 2,Supermarket Type1,529.311,non
149,NCO26,7.235,Non-Edible,0.076841095,117.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1969.4364,Others
150,DRJ25,14.6,Low Fat,0.151419185,50.3692,OUT017,2007,Medium,Tier 2,Supermarket Type1,1034.6532,non
151,FDR28,13.85,Regular,0.026001976,161.52100000000002,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.3310000000001,non
152,FDI04,13.65,Regular,0.073209447,197.6426,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.3964,non
153,DRK12,11.847459893048129,Low Fat,0.041683481,31.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,898.83,non
154,FDX20,7.365,Low Fat,0.042560252,226.172,OUT046,1997,Small,Tier 1,Supermarket Type1,3169.208,perishable
155,NCI18,18.35,Non-Edible,0.014081156000000001,223.5746,OUT018,2009,Medium,Tier 3,Supermarket Type2,3589.9936,Others
156,FDB36,5.465,Regular,0.062343432000000004,132.5626,OUT018,2009,Medium,Tier 3,Supermarket Type2,262.3252,non
157,FDN13,18.6,Low Fat,0.152918384,99.8358,OUT017,2007,Medium,Tier 2,Supermarket Type1,1910.1802,perishable
158,DRD24,13.85,Low Fat,0.030969273999999998,140.9154,OUT017,2007,Medium,Tier 2,Supermarket Type1,1701.7848,non
159,FDQ28,14.0,Regular,0.06037677599999999,154.5656,OUT013,1987,High,Tier 3,Supermarket Type1,2471.4496,non
160,FDM22,14.0,Regular,0.04192285,54.763999999999996,OUT013,1987,High,Tier 3,Supermarket Type1,1331.6,non
161,FDR07,13.224769381746881,Low Fat,0.077367431,97.0094,OUT027,1985,Medium,Tier 3,Supermarket Type3,1808.9786,perishable
162,FDV25,5.905,Low Fat,0.045838211,222.5456,OUT018,2009,Medium,Tier 3,Supermarket Type2,3315.684,non
163,DRF49,7.27,Low Fat,0.071077939,114.2518,OUT046,1997,Small,Tier 1,Supermarket Type1,2618.5914,non
164,FDW51,6.155,Regular,0.09465987099999999,214.55599999999998,OUT046,1997,Small,Tier 1,Supermarket Type1,2769.728,perishable
165,DRL01,19.5,Regular,0.077608838,233.4958,OUT017,2007,Medium,Tier 2,Supermarket Type1,5375.0034,non
166,FDP25,15.2,Low Fat,0.021327477,216.8824,OUT017,2007,Medium,Tier 2,Supermarket Type1,2838.9712,non
167,FDL50,12.15,Regular,0.042485444000000004,125.0046,OUT018,2009,Medium,Tier 3,Supermarket Type2,1743.0644,non
168,NCB30,13.384736495388726,Non-Edible,0.025578526,198.8084,OUT027,1985,Medium,Tier 3,Supermarket Type3,5555.4352,Others
169,FDW11,12.6,Low Fat,0.048980800000000005,61.9194,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.194,perishable
170,NCM43,14.5,Non-Edible,0.019471688,164.821,OUT035,2004,Small,Tier 2,Supermarket Type1,2120.573,Others
171,FDK44,16.6,Low Fat,0.122918852,173.0738,OUT017,2007,Medium,Tier 2,Supermarket Type1,3823.0236,perishable
172,FDM15,11.8,Regular,0.057373797000000004,151.4366,OUT013,1987,High,Tier 3,Supermarket Type1,1360.2294,perishable
173,FDS31,13.1,Regular,0.044155597000000005,178.8318,OUT013,1987,High,Tier 3,Supermarket Type1,3969.4996,perishable
174,FDI32,17.7,Low Fat,0.291865402,115.1834,OUT010,1998,Medium,Tier 3,Grocery Store,345.5502,perishable
175,FDR47,17.85,Low Fat,0.0586417345,196.5794,OUT010,1998,Medium,Tier 3,Grocery Store,585.2382,perishable
176,FDB35,12.3,Regular,0.064750025,92.6804,OUT045,2002,Medium,Tier 2,Supermarket Type1,1010.6844,perishable
177,NCU05,11.8,Non-Edible,0.098312421,81.4618,OUT010,1998,Medium,Tier 3,Grocery Store,161.1236,Others
178,DRY23,11.847459893048129,Regular,0.191013663,42.1112,OUT019,1985,Small,Tier 1,Grocery Store,42.6112,non
179,FDO24,11.1,Low Fat,0.176573035,157.4604,OUT045,2002,Medium,Tier 2,Supermarket Type1,3010.7476,non
180,FDQ28,12.867061281337076,Regular,0.060134441,153.0656,OUT027,1985,Medium,Tier 3,Supermarket Type3,6024.1584,non
181,FDV39,11.3,Low Fat,0.0072946519999999996,198.1426,OUT045,2002,Medium,Tier 2,Supermarket Type1,988.7130000000001,perishable
182,NCO17,13.142313953488392,Non-Edible,0.128478462,117.944,OUT019,1985,Small,Tier 1,Grocery Store,239.688,Others
183,FDU50,5.75,Regular,0.075107656,112.8176,OUT013,1987,High,Tier 3,Supermarket Type1,1374.2112,perishable
184,FDT12,12.277108208955255,Regular,0.049381405999999996,226.8062,OUT027,1985,Medium,Tier 3,Supermarket Type3,4739.8302,non
185,FDK58,11.35,Regular,0.045165795999999994,100.0016,OUT018,2009,Medium,Tier 3,Supermarket Type2,1012.0160000000001,non
186,FDO08,13.224769381746881,Regular,0.09415375,165.7526,OUT019,1985,Small,Tier 1,Grocery Store,657.8104,perishable
187,NCW29,14.0,Non-Edible,0.028907832,130.431,OUT049,1999,Medium,Tier 1,Supermarket Type1,778.9860000000001,Others
188,FDE04,19.75,Regular,0.018059621,179.766,OUT045,2002,Medium,Tier 2,Supermarket Type1,2336.958,non
189,NCB19,6.525,Non-Edible,0.09043609400000001,85.0882,OUT049,1999,Medium,Tier 1,Supermarket Type1,2233.0932,Others
190,FDV15,10.3,Low Fat,0.146399712,103.9648,OUT049,1999,Medium,Tier 1,Supermarket Type1,1661.8368,perishable
191,FDL58,5.78,Regular,0.07426435599999999,264.7568,OUT049,1999,Medium,Tier 1,Supermarket Type1,4745.8224,non
192,FDA08,11.85,Regular,0.050186725999999994,164.1526,OUT045,2002,Medium,Tier 2,Supermarket Type1,3124.5994,perishable
193,FDT43,16.35,Low Fat,0.020631654,50.1324,OUT018,2009,Medium,Tier 3,Supermarket Type2,467.3916,perishable
194,NCX06,13.384736495388726,Non-Edible,0.01561108,182.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,5070.7328,Others
195,FDT20,10.5,Low Fat,0.041395445,37.6164,OUT046,1997,Small,Tier 1,Supermarket Type1,540.6296,perishable
196,FDB41,19.0,Regular,0.097313129,48.0718,OUT046,1997,Small,Tier 1,Supermarket Type1,992.7078,non
197,NCN55,14.6,Non-Edible,0.059582996,238.8538,OUT049,1999,Medium,Tier 1,Supermarket Type1,6008.845,Others
198,FDE40,13.42606890459367,Regular,0.09866365199999999,62.9194,OUT027,1985,Medium,Tier 3,Supermarket Type3,2105.2596,perishable
199,FDX49,12.305705009276451,Regular,0.101338651,232.63,OUT027,1985,Medium,Tier 3,Supermarket Type3,5359.69,non
200,NCM53,18.75,Non-Edible,0.052146455999999994,104.62799999999999,OUT045,2002,Medium,Tier 2,Supermarket Type1,745.696,Others
201,FDE36,5.26,Regular,0.041764487,161.8868,OUT035,2004,Small,Tier 2,Supermarket Type1,3275.736,non
202,FDN57,18.25,Low Fat,0.054344185999999996,140.2154,OUT045,2002,Medium,Tier 2,Supermarket Type1,1701.7848,non
203,FDI24,12.277108208955255,Low Fat,0.07836248400000001,177.937,OUT027,1985,Medium,Tier 3,Supermarket Type3,6704.606,non
204,FDI19,15.1,Low Fat,0.052339069,242.7512,OUT046,1997,Small,Tier 1,Supermarket Type1,4119.9704,perishable
205,FDF24,15.5,Regular,0.042464962,81.5934,OUT010,1998,Medium,Tier 3,Grocery Store,327.5736,non
206,FDG52,13.65,Low Fat,0.06573288299999999,45.7402,OUT049,1999,Medium,Tier 1,Supermarket Type1,780.9834,non
207,DRF36,16.1,Low Fat,0.023625114,189.3846,OUT045,2002,Medium,Tier 2,Supermarket Type1,3630.6074,non
208,FDS45,12.987879554655919,Regular,0.051643608,107.3622,OUT019,1985,Small,Tier 1,Grocery Store,317.5866,non
209,FDX40,12.85,Low Fat,0.165694219,39.7164,OUT010,1998,Medium,Tier 3,Grocery Store,231.6984,non
210,DRK12,9.5,Low Fat,0.041878397000000005,32.99,OUT035,2004,Small,Tier 2,Supermarket Type1,133.16,non
211,DRC27,13.8,Low Fat,0.058091482,245.1802,OUT035,2004,Small,Tier 2,Supermarket Type1,5650.6446,perishable
212,FDL58,5.78,Regular,0.057583738,263.7568,OUT017,2007,Medium,Tier 2,Supermarket Type1,2636.5679999999998,non
213,NCD30,19.7,Non-Edible,0.026903714,96.0726,OUT045,2002,Medium,Tier 2,Supermarket Type1,1272.3438,Others
214,NCZ54,14.65,Non-Edible,0.049016517,161.5552,OUT010,1998,Medium,Tier 3,Grocery Store,324.9104,Others
